"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20656","should fire rewrite, undo, and feedback click events in the AI toolbar flow","Analytics: RFQ (GA3)","2026-08-30","passed","2026-08-30","","rfq_ai_tracking (DRG-581 treatment)","",""
"","5830","should validate GA3 pageView on registration","Analytics: Supplier Login (GA3)","2026-08-30","passed","2026-08-30","","Registration page UV (registration)","",""
"","5894","should fire ai_banner_show with optimize_with_ai when description is filled manually","Analytics: RFQ (GA3)","2026-08-30","passed","2026-08-30","","rfq_ai_tracking (DRG-581 treatment)","",""
"","2510","validates page_view on sign-in page","Analytics: Sign In / Sign Up (GA4)","2026-08-30","passed","2026-08-30","","page_view","",""
"","871","should fire show_cpp_productCard on company product card impression","Analytics: CPP Desktop (GA3)","2026-08-30","passed","2026-08-30","","profile & products","",""
"","1582","should fire click_serp_maplayover_showContactForm on map overlay contact button click","Analytics: Company Search (GA3)","2026-08-30","passed","2026-08-30","","company card tracking","",""
"","5876","validates register_show_form after entering new email","Analytics: Sign In / Sign Up (GA4)","2026-08-30","passed","2026-08-30","","registration form","",""
"","257","should fire click_pdp_infoSection_showContactForm and show_contactForm on contact click","Analytics: PDP Desktop (GA3)","2026-08-30","passed","2026-08-30","","info section & gallery","",""
"","353","should fire company_details_items_click_clickout on external link / phone / map","Analytics: CPP Desktop (GA3)","2026-08-30","passed","2026-08-30","","profile & products","",""
"","42","should fire show_pdp_similarProductsWidget on similar product card impression","Analytics: PDP Desktop (GA3)","2026-08-30","passed","2026-08-30","","company products, widgets & chrome","",""
"","228","should fire paginate_click on product image arrows or company images show-more","Analytics: CPP Desktop (GA3)","2026-08-30","passed","2026-08-30","","profile & products","",""
"","47","should fire show_pdp_stickyPanel_contactFormButton when sticky panel appears","Analytics: PDP Desktop (GA3)","2026-08-30","passed","2026-08-30","","company products, widgets & chrome","",""
"","15479","information section:: should fire show_contactForm → click_contact_page_message_send → messageTransaction_sent → show_directRequest_successPopup through the PDP info-section federated widget","Analytics: PDP – Direct Request Widget / QDR modal (GA3)","2026-08-30","passed","2026-08-30","","","",""
"","220","should fire click tracking on contact button click","Analytics: Company Search (GA3)","2026-08-30","passed","2026-08-30","","company card tracking","",""
"","139","should fire show_cpp_productCard_contactFormButton on trending card contact impression","Analytics: PDP Desktop (GA3)","2026-08-30","passed","2026-08-30","","company products, widgets & chrome","",""
"","145","should fire badge_hover on verified badge hover","Analytics: CPP Desktop (GA3)","2026-08-30","passed","2026-08-30","","profile & products","",""
"","3835","should fire ai_cta_click with create_with_ai when Create with AI is clicked","Analytics: RFQ (GA3)","2026-08-30","passed","2026-08-30","","rfq_ai_tracking (DRG-581 treatment)","",""
"","299","should fire click tracking on portfolio product click","Analytics: Company Search (GA3)","2026-08-30","passed","2026-08-30","","company card tracking","",""
"","21","should fire recommended_products_show on you-may-like impression","Analytics: CPP Mobile (GA3)","2026-08-30","passed","2026-08-30","","modules & product list","",""
"","553","should fire click tracking on product price click","Analytics: Product Search (GA3)","2026-08-30","passed","2026-08-30","","product card tracking","",""
"","3480","should validate GA3 pageView","Analytics: PDP Desktop (GA3)","2026-08-30","passed","2026-08-30","","page_view","",""
"","2385","should validate GA3 pageView on signIn","Analytics: Supplier Login (GA3)","2026-08-30","passed","2026-08-30","","Sign-in UV (signIn)","",""
"","26","should fire show tracking on portfolio product impression","Analytics: Company Search (GA3)","2026-08-30","passed","2026-08-30","","company card tracking","",""
"","723","should fire show_pdp_productCard_contactFormButton on company-product card contact impression","Analytics: PDP Desktop (GA3)","2026-08-30","passed","2026-08-30","","company products, widgets & chrome","",""
"","5167","should fire recommended_products_direct_request_click on mobile product contact","Analytics: CPP Mobile (GA3)","2026-08-30","passed","2026-08-30","","modules & product list","",""
"","181","should fire productImage tracking when SponsoredLabel is clicked (bubbling)","Analytics: Product Search (GA3)","2026-08-30","passed","2026-08-30","","product card tracking","",""
"","122","should fire show_cpp_wlwAppBanner on app scene banner impression","Analytics: CPP Desktop (GA3)","2026-08-30","passed","2026-08-30","","profile & products","",""
"","513","should fire company_details_items_click_direct_request on location contact click","Analytics: CPP Desktop (GA3)","2026-08-30","passed","2026-08-30","","profile & products","",""
"","1326","should fire click_login_googleButton on Google button click","Analytics: Supplier Login (GA3)","2026-08-30","passed","2026-08-30","","Social Login buttons","",""
"","586","should fire click tracking on product name click","Analytics: Product Search (GA3)","2026-08-30","passed","2026-08-30","","product card tracking","",""
"","140","should fire show_cpp_productCard on mobile product card impression","Analytics: CPP Mobile (GA3)","2026-08-30","passed","2026-08-30","","modules & product list","",""
"","39","should fire show_cpp_viewMoreCompanyProductsButton on load-more impression","Analytics: CPP Mobile (GA3)","2026-08-30","passed","2026-08-30","","modules & product list","",""
"","124","should fire click tracking on minimum order quantity click","Analytics: Product Search (GA3)","2026-08-30","passed","2026-08-30","","product card tracking","",""
"","145","should fire click tracking on portfolio button click","Analytics: Company Search (GA3)","2026-08-30","passed","2026-08-30","","company card tracking","",""
"","244","should fire show_pdp_module_product_description on about-product impression","Analytics: PDP Mobile (GA3)","2026-08-30","passed","2026-08-30","","modules & chrome","",""
"","637","should fire show_pdp_module_product_overview on overview section impression","Analytics: PDP Mobile (GA3)","2026-08-30","passed","2026-08-30","","modules & chrome","",""
"","204","should fire hitArea tracking when PriceAction empty area is clicked (bubbling)","Analytics: Product Search (GA3)","2026-08-30","passed","2026-08-30","","product card tracking","",""
"","1027","validates login_click_social on Apple button click","Analytics: Sign In / Sign Up (GA4)","2026-08-30","passed","2026-08-30","","social login","",""
"","148","should fire company_card_click when description is clicked (bubbling to card)","Analytics: Company Search (GA3)","2026-08-30","passed","2026-08-30","","company card tracking","",""
"","219","should fire click_pdp_stickyTopBar_product_overview on overview tab click","Analytics: PDP Mobile (GA3)","2026-08-30","passed","2026-08-30","","sticky top bar tabs","",""
"","134","should fire show_cpp_productCategoriesSection on categories impression","Analytics: CPP Mobile (GA3)","2026-08-30","passed","2026-08-30","","modules & product list","",""
"","717","should fire show_pdp_companyInfo_externalLink when company website link is visible","Analytics: PDP Desktop (GA3)","2026-08-30","passed","2026-08-30","","info section & gallery","",""
"","459","should fire click_pdp_productCard_imageSwipe when product-card image changes","Analytics: PDP Mobile (GA3)","2026-08-30","passed","2026-08-30","","modules & chrome","",""
"","329","should fire click_cpp_productCard_showContactForm on trending card contact click","Analytics: PDP Desktop (GA3)","2026-08-30","passed","2026-08-30","","company products, widgets & chrome","",""
"","151","should fire click_pdp_viewAllProductsButton on view-all link click","Analytics: PDP Mobile (GA3)","2026-08-30","passed","2026-08-30","","modules & chrome","",""
"","2397","should fire click_pdp_stickyTopBar_company_card on company tab click","Analytics: PDP Mobile (GA3)","2026-08-30","passed","2026-08-30","","sticky top bar tabs","",""
"","3072","should fire click_pdp_infoSection_showContactForm on info contact button click","Analytics: PDP Mobile (GA3)","2026-08-30","passed","2026-08-30","","modules & chrome","",""
"","209","should fire show_pdp_keywordsSection on keywords section impression","Analytics: PDP Desktop (GA3)","2026-08-30","passed","2026-08-30","","company products, widgets & chrome","",""
"","17337","product card:: should fire show_contactForm → click_contact_page_message_send → messageTransaction_sent → show_directRequest_successPopup through the PDP other-company product card federated widget","Analytics: PDP – Direct Request Widget / QDR modal (GA3)","2026-08-30","passed","2026-08-30","","","",""
"","232","should fire click_pdp_companyInfo_companyName on company name click","Analytics: PDP Desktop (GA3)","2026-08-30","passed","2026-08-30","","info section & gallery","",""
"","767","should fire mobile_company_modules_show on company card impression","Analytics: CPP Mobile (GA3)","2026-08-30","passed","2026-08-30","","modules & product list","",""
"","37","should fire show tracking on portfolio button impression","Analytics: Company Search (GA3)","2026-08-30","passed","2026-08-30","","company card tracking","",""
"","40","should fire show_pdp_similarProductsWidget_shown on similar products widget impression","Analytics: PDP Desktop (GA3)","2026-08-30","passed","2026-08-30","","company products, widgets & chrome","",""
"","233","should fire show_pdp_module_product_specification on specification impression","Analytics: PDP Mobile (GA3)","2026-08-30","passed","2026-08-30","","modules & chrome","",""
"","3338","should validate GA3 pageView","Analytics: Showroom (GA3)","2026-08-30","passed","2026-08-30","","","",""
"","1425","should fire show_productSerp_productCard on card impression","Analytics: Product Search (GA3)","2026-08-30","passed","2026-08-30","","product card tracking","",""
"","59","should fire show_cpp_wlwAppBanner on app scene banner impression","Analytics: CPP Mobile (GA3)","2026-08-30","passed","2026-08-30","","modules & product list","",""
"","169","should fire company_details_copy_click when opening company detail sheet","Analytics: CPP Mobile (GA3)","2026-08-30","passed","2026-08-30","","modules & product list","",""
"","806","should fire show_pdp_infoSection_contactFormButton on contact button impression","Analytics: PDP Desktop (GA3)","2026-08-30","passed","2026-08-30","","info section & gallery","",""
"","27","should fire show tracking on contact button impression","Analytics: Company Search (GA3)","2026-08-30","passed","2026-08-30","","company card tracking","",""
"","284","should fire click tracking on portfolio product name click","Analytics: Company Search (GA3)","2026-08-30","passed","2026-08-30","","company card tracking","",""
"","1206","validates login_click_social on Alibaba button click","Analytics: Sign In / Sign Up (GA4)","2026-08-30","passed","2026-08-30","","social login","",""
"","229","should fire click tracking on product image click","Analytics: Product Search (GA3)","2026-08-30","passed","2026-08-30","","product card tracking","",""
"","19844","should fire show_contactForm → click_contact_page_message_send → messageTransaction_sent → show_directRequest_successPopup through the showroom product card federated widget","Analytics: Showroom – Direct Request Widget / QDR modal (GA3)","2026-08-30","passed","2026-08-30","","","",""
"","11392","should fire show_pdp_module_recommended_products on you-may-like impression","Analytics: PDP Mobile (GA3)","2026-08-30","passed","2026-08-30","","modules & chrome","",""
"","319","should fire click_contactForm_close on modal close","Analytics: PDP Desktop (GA3)","2026-08-30","passed","2026-08-30","","info section & gallery","",""
"","76","should fire show_cpp_productCard_contactFormButton on mobile product contact","Analytics: CPP Mobile (GA3)","2026-08-30","passed","2026-08-30","","modules & product list","",""
"","11651","should mint the funnel transaction_id at the submit click and pass it through purchase → success redirect → show_success_page_view","Analytics: Direct Request / QDR (GA3)","2026-08-30","passed","2026-08-30","","message_send_flow","",""
