"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2064","should display Top categories section with /business-directory-europe links","regression","2026-08-31","passed","2026-08-31","ep-homepage-regression","homepage","",""
"","13926","should not log any errors on direct request page with product","critical regression","2026-08-31","broken","2026-08-31","direct-request-e2e","requests","",""
"","9631","should load PDP with product title and breadcrumbs","smoke","2026-08-31","failed","2026-08-31","","pdp","",""
"","4987","should have valid URLs for all navigation elements","regression","2026-08-31","passed","2026-08-31","ai-company-search-regression","company-search","",""
"","4031","should display pagination","regression","2026-08-31","passed","2026-08-31","ai-company-search-regression","company-search","",""
"","1762","should navigate product recommendation carousel with slider arrows","smoke","2026-08-31","passed","2026-08-31","","homepage","",""
"","9552","should display Inside Business section title","regression","2026-08-31","failed","2026-08-31","ep-homepage-regression","homepage","",""
"","60929","should publish draft product when all requirements are met","regression","2026-08-31","failed","2026-08-31","draft-to-online","product-editor","",""
"","2412","should display product cards","regression","2026-08-31","passed","2026-08-31","wlw-cpv-regression","cpv","",""
"","2689","should load CSERP URL and display breadcrumbs","regression","2026-08-31","passed","2026-08-31","ep-cserp-regression","cserp","",""
"","5532","RFQAI-MOB-P0-002: Create with AI remains visible after typing title on mobile","critical regression","2026-08-31","passed","2026-08-31","rfq-ai-ui-mobile","requests","",""
"","3251","should pass CR-11 on europages CPV","regression","2026-08-31","passed","2026-08-31","cr-11-cpv-functional","cpv","",""
"","16772","should search product by title successfully","regression","2026-08-31","passed","2026-08-31","search-product","product-editor","",""
"","1312","should display europages brand intro title","regression","2026-08-31","passed","2026-08-31","ep-homepage-regression","homepage","",""
"","2552","should load CSERP URL and display breadcrumbs","regression","2026-08-31","passed","2026-08-31","wlw-cserp-regression","cserp","",""
"","4903","should display filter options in German","smoke","2026-08-31","passed","2026-08-31","","ai-company-search-smoke","",""
"","2376","should display the direct request page and supplier data","smoke","2026-08-31","passed","2026-08-31","","requests-smoke","",""
"","4361","should keep AI reasoning panel after a header search","regression","2026-08-31","passed","2026-08-31","ai-product-search-regression","product-search","",""
"","1166","should display product cards with core structure","regression","2026-08-31","passed","2026-08-31","ep-showroom-regression","showroom","",""
"","1168","should display product description","regression","2026-08-31","passed","2026-08-31","wlw-pdp-regression","pdp","",""
"","9900","should display Notifications section","regression","2026-08-31","passed","2026-08-31","ep-my-account-regression","my-account","",""
"","10889","should display date filter and download button","regression","2026-08-31","passed","2026-08-31","ep-business-insights-regression","my-account","",""
"","12803","should find a product by title using the search input","smoke","2026-08-31","passed","2026-08-31","","product-editor","",""
"","1378","should display related products","regression","2026-08-31","passed","2026-08-31","ep-pdp-regression","pdp","",""
"","10527","should load homepage on Poland (https://www.europages-staging.pl)","regression","2026-08-31","failed","2026-08-31","domain-smoke","homepage","",""
"","15472","should sign in successfully with valid supplier (paid customer) credentials","smoke","2026-08-31","passed","2026-08-31","","wlw-login-smoke","",""
"","9523","should display ""List my company"" button in header","regression","2026-08-31","failed","2026-08-31","ep-homepage-regression","homepage","",""
"","10231","should pass CR-10 on wlw PDP","regression","2026-08-31","failed","2026-08-31","cr-10-pdp-functional","pdp","",""
"","2560","should load CPV with breadcrumbs and product cards","smoke","2026-08-31","passed","2026-08-31","","cpv","",""
"","12407","should bulk edit keywords for online products","regression","2026-08-31","passed","2026-08-31","bulk-edit-online-listing","product-editor","",""
"","2322","should scroll trending products carousel forward with next arrow","regression","2026-08-31","passed","2026-08-31","ep-homepage-regression","homepage","",""
"","1866","should display pagination","regression","2026-08-31","passed","2026-08-31","ep-cserp-regression","cserp","",""
"","6611","should run a new search from the header search form","regression","2026-08-31","passed","2026-08-31","ai-product-search-regression","product-search","",""
"","8465","should display the Request Hub banner","regression","2026-08-31","passed","2026-08-31","ep-business-insights-regression","my-account","",""
"","27263","should put offline product online then put offline and verify status span changes","regression","2026-08-31","passed","2026-08-31","draft-online-offline-cycle","product-editor","",""
"","2045","should display filter controls","regression","2026-08-31","passed","2026-08-31","ep-cpv-regression","cpv","",""
"","1504","should display contact button","regression","2026-08-31","passed","2026-08-31","wlw-pdp-regression","pdp","",""
"","2183","should load showroom on Switzerland (https://www.wlw-staging.ch)","regression","2026-08-31","passed","2026-08-31","domain-smoke","showroom","",""
"","19243","RFQAI-MOB-P0-003: generates AI description from valid title on mobile","critical regression","2026-08-31","passed","2026-08-31","rfq-ai-ui-mobile","requests","",""
