"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","127","should fire show_cpp_productCard_contactFormButton on trending card contact impression","Analytics: PDP Desktop (GA3)","2026-08-04","passed","2026-08-04","","company products, widgets & chrome","",""
"","353","should fire click tracking on product price click","Analytics: Product Search (GA3)","2026-08-04","passed","2026-08-04","","product card tracking","",""
"","176","should fire click tracking on product image click","Analytics: Product Search (GA3)","2026-08-04","passed","2026-08-04","","product card tracking","",""
"","286","should fire recommended_products_direct_request_click + show_contactForm on product contact click","Analytics: CPP Desktop (GA3)","2026-08-04","passed","2026-08-04","","profile & products","",""
"","102","should fire click tracking on company name click","Analytics: Product Search (GA3)","2026-08-04","passed","2026-08-04","","product card tracking","",""
"","7080","should validate GA3 pageView","Analytics: CPP Desktop (GA3)","2026-08-04","passed","2026-08-04","","page_view","",""
"","145","should fire click tracking on product description click","Analytics: Product Search (GA3)","2026-08-04","passed","2026-08-04","","product card tracking","",""
"","1017","validates login_click_social on Apple button click","Analytics: Sign In / Sign Up (GA4)","2026-08-04","passed","2026-08-04","","social login","",""
"","352","should fire click_pdp_infoSection_productImage on gallery image click","Analytics: PDP Desktop (GA3)","2026-08-04","passed","2026-08-04","","info section & gallery","",""
"","92","should fire image_enlarge on company images section impression","Analytics: CPP Desktop (GA3)","2026-08-04","passed","2026-08-04","","profile & products","",""
"","4422","should validate GA3 pageView on supplier registration landing page","Analytics: Supplier Onboarding (GA3)","2026-08-04","passed","2026-08-04","","Supplier registration landing UV (supplier_registration_landingpage)","",""
"","178","should fire click tracking on product card hit area click","Analytics: Product Search (GA3)","2026-08-04","passed","2026-08-04","","product card tracking","",""
"","213","should fire click tracking on portfolio product name click","Analytics: Company Search (GA3)","2026-08-04","passed","2026-08-04","","company card tracking","",""
"","229","should fire show_pdp_directRequestStickyButton on sticky contact bar impression","Analytics: PDP Mobile (GA3)","2026-08-04","passed","2026-08-04","","modules & chrome","",""
"","83","should fire show_cpp_productCard_contactFormButton on product card contact impression","Analytics: CPP Desktop (GA3)","2026-08-04","passed","2026-08-04","","profile & products","",""
"","6634","should fire click_pdp_directRequestStickyButton on sticky contact click","Analytics: PDP Mobile (GA3)","2026-08-04","passed","2026-08-04","","modules & chrome","",""
"","5976","should fire direct_request_sticky_button_click on sticky contact click","Analytics: CPP Mobile (GA3)","2026-08-04","passed","2026-08-04","","sticky direct request","",""
"","6090","should validate GA3 pageView","Analytics: Company Search (GA3)","2026-08-04","passed","2026-08-04","","page_view","",""
"","20","should fire company_details_items_show from detail sheet content","Analytics: CPP Mobile (GA3)","2026-08-04","passed","2026-08-04","","modules & product list","",""
"","20271","stycky panel should:: fire show_contactForm → click_contact_page_message_send → messageTransaction_sent → show_directRequest_successPopup through the CPP sticky panel federated widget","Analytics: PDP – Direct Request Widget / QDR modal (GA3)","2026-08-04","passed","2026-08-04","","","",""
"","306","should fire company_details_items_click_clickout on external link / phone / map","Analytics: CPP Desktop (GA3)","2026-08-04","passed","2026-08-04","","profile & products","",""
"","121","should fire click tracking on portfolio product image click","Analytics: Static SERP — Company (GA3)","2026-08-04","passed","2026-08-04","","company card tracking","",""
"","21347","should fire show_contactForm → click_contact_page_message_send → messageTransaction_sent → show_directRequest_successPopup through the showroom product card federated widget","Analytics: Showroom – Direct Request Widget / QDR modal (GA3)","2026-08-04","passed","2026-08-04","","","",""
"","30","should fire show tracking on contact button impression","Analytics: Company Search (GA3)","2026-08-04","passed","2026-08-04","","company card tracking","",""
"","132","should fire company_details_copy_click when opening company detail sheet","Analytics: CPP Mobile (GA3)","2026-08-04","passed","2026-08-04","","modules & product list","",""
"","222","should fire click tracking on contact button click","Analytics: Product Search (GA3)","2026-08-04","passed","2026-08-04","","product card tracking","",""
"","12246","should mint the funnel transaction_id at the submit click and pass it through purchase → success redirect → show_success_page_view","Analytics: Direct Request / QDR (GA3)","2026-08-04","passed","2026-08-04","","message_send_flow","",""
"","234","should fire show_pdp_module_company_card on company section impression","Analytics: PDP Mobile (GA3)","2026-08-04","passed","2026-08-04","","modules & chrome","",""
"","228","should fire company_card_click on company name click","Analytics: Company Search (GA3)","2026-08-04","passed","2026-08-04","","company card tracking","",""
"","645","should fire show_pdp_companyInfo_externalLink when company website link is visible","Analytics: PDP Desktop (GA3)","2026-08-04","passed","2026-08-04","","info section & gallery","",""
"","239","should fire click_serp_companyCard_showContactForm on contact button click","Analytics: Static SERP — Company (GA3)","2026-08-04","passed","2026-08-04","","company card tracking","",""
"","16661","should fire show_contactForm → click_contact_page_message_send → messageTransaction_sent → show_directRequest_successPopup through the federated widget","Analytics: Direct Request Widget / QDR modal (GA3)","2026-08-04","passed","2026-08-04","","","",""
"","412","should fire click_pdp_productCard_imageArrows on product-card image arrow click","Analytics: PDP Desktop (GA3)","2026-08-04","passed","2026-08-04","","company products, widgets & chrome","",""
"","137","should fire company_card_click on company logo click","Analytics: Company Search (GA3)","2026-08-04","passed","2026-08-04","","company card tracking","",""
"","2151","should fire click_pdp_stickyTopBar_company_card on company tab click","Analytics: PDP Mobile (GA3)","2026-08-04","passed","2026-08-04","","sticky top bar tabs","",""
"","1255","should fire click_login_alibabaButton on Alibaba button click","Analytics: Supplier Login (GA3)","2026-08-04","passed","2026-08-04","","Social Login buttons","",""
"","293","should fire click_pdp_infoSection_showContactForm and show_contactForm on contact click","Analytics: PDP Desktop (GA3)","2026-08-04","passed","2026-08-04","","info section & gallery","",""
"","1184","should fire profile_items_show on info-section contact impression","Analytics: CPP Desktop (GA3)","2026-08-04","passed","2026-08-04","","profile & products","",""
"","138","should fire show_exploration_trendingProductsWidget_shown on trending widget impression","Analytics: PDP Desktop (GA3)","2026-08-04","passed","2026-08-04","","company products, widgets & chrome","",""
"","17835","should fire show_contactForm → click_contact_page_message_send → messageTransaction_sent → show_directRequest_successPopup through the federated widget","Analytics: Company Search – Direct Request Widget / QDR modal (GA3)","2026-08-04","passed","2026-08-04","","","",""
"","110","should fire paginate_click on load-more products click","Analytics: CPP Mobile (GA3)","2026-08-04","passed","2026-08-04","","modules & product list","",""
"","248","should fire paginate_click on product image arrows or company images show-more","Analytics: CPP Desktop (GA3)","2026-08-04","passed","2026-08-04","","profile & products","",""
"","2893","should validate GA3 pageView","Analytics: Showroom (GA3)","2026-08-04","passed","2026-08-04","","","",""
"","39","should fire show_cpp_trendingProductsWidget on trending product card impression","Analytics: PDP Desktop (GA3)","2026-08-04","passed","2026-08-04","","company products, widgets & chrome","",""
"","148","should fire filter_chips_apply when a category chip is clicked","Analytics: CPP Mobile (GA3)","2026-08-04","passed","2026-08-04","","modules & product list","",""
"","5474","validates register_show_form after entering new email","Analytics: Sign In / Sign Up (GA4)","2026-08-04","passed","2026-08-04","","registration form","",""
"","16628","information section:: should fire show_contactForm → click_contact_page_message_send → messageTransaction_sent → show_directRequest_successPopup through the PDP info-section federated widget","Analytics: PDP – Direct Request Widget / QDR modal (GA3)","2026-08-04","passed","2026-08-04","","","",""
"","294","should fire click_cpp_productCard_showContactForm on trending card contact click","Analytics: PDP Desktop (GA3)","2026-08-04","passed","2026-08-04","","company products, widgets & chrome","",""
"","123","should fire show_productSerp_sponsoredBrand on sponsored brand impression","Analytics: Product Search (GA3)","2026-08-04","passed","2026-08-04","","sponsored brand tracking","",""
"","288","should fire click tracking on more products card click","Analytics: Company Search (GA3)","2026-08-04","passed","2026-08-04","","company card tracking","",""
"","27635","should fire show_contactForm → click_contact_page_message_send → messageTransaction_sent → show_directRequest_successPopup through the CPP sticky panel federated widget","Analytics: CPP – Direct Request Widget / QDR modal (GA3)","2026-08-04","passed","2026-08-04","","","",""
"","17139","product card:: should fire show_contactForm → click_contact_page_message_send → messageTransaction_sent → show_directRequest_successPopup through the PDP other-company product card federated widget","Analytics: PDP – Direct Request Widget / QDR modal (GA3)","2026-08-04","passed","2026-08-04","","","",""
"","450","should fire click tracking on portfolio product click","Analytics: Company Search (GA3)","2026-08-04","passed","2026-08-04","","company card tracking","",""
"","240","should fire click_pdp_otherCompanyProducts_paginate on next products click","Analytics: PDP Desktop (GA3)","2026-08-04","passed","2026-08-04","","company products, widgets & chrome","",""
"","91","should fire click_productSerp_sponsoredBrand_showContactForm on contact button click","Analytics: Product Search (GA3)","2026-08-04","passed","2026-08-04","","sponsored brand tracking","",""
"","5463","should fire profile_items_show for sticky panel contact when scrolled","Analytics: CPP Desktop (GA3)","2026-08-04","passed","2026-08-04","","profile & products","",""
"","1708","should fire company_card_show on card impression","Analytics: Company Search (GA3)","2026-08-04","passed","2026-08-04","","company card tracking","",""
"","103","should fire companyName tracking on company header area click (bubbling)","Analytics: Product Search (GA3)","2026-08-04","passed","2026-08-04","","product card tracking","",""
"","1900","validates login_click_social on Google button click","Analytics: Sign In / Sign Up (GA4)","2026-08-04","passed","2026-08-04","","social login","",""
"","17","should fire sort_show and sort_click via mobile sort chip","Analytics: CPP Mobile (GA3)","2026-08-04","passed","2026-08-04","","modules & product list","",""
"","43","should fire show_pdp_similarProductsWidget_shown on similar products widget impression","Analytics: PDP Desktop (GA3)","2026-08-04","passed","2026-08-04","","company products, widgets & chrome","",""
"","192","should fire company_card_click on card hit area click","Analytics: Company Search (GA3)","2026-08-04","passed","2026-08-04","","company card tracking","",""
"","232","should fire click_pdp_stickyTopBar_product_details on details tab click","Analytics: PDP Mobile (GA3)","2026-08-04","passed","2026-08-04","","sticky top bar tabs","",""
"","2519","should validate GA3 pageView on signIn","Analytics: Supplier Login (GA3)","2026-08-04","passed","2026-08-04","","Sign-in UV (signIn)","",""
"","131","should fire show_cpp_productCard_contactFormButton on mobile product contact","Analytics: CPP Mobile (GA3)","2026-08-04","passed","2026-08-04","","modules & product list","",""
"","271","should fire show_pdp_keywordsSection on keywords section impression","Analytics: PDP Desktop (GA3)","2026-08-04","passed","2026-08-04","","company products, widgets & chrome","",""
"","324","should fire click tracking on product name click","Analytics: Product Search (GA3)","2026-08-04","passed","2026-08-04","","product card tracking","",""
"","226","should fire click_pdp_productCard when company-product blank area is clicked (upgrade card only)","Analytics: PDP Desktop (GA3)","2026-08-04","passed","2026-08-04","","company products, widgets & chrome","",""
"","27","should fire show tracking on portfolio product impression","Analytics: Company Search (GA3)","2026-08-04","passed","2026-08-04","","company card tracking","",""
"","17084","should fire show_contact_form → click_to_send → purchase → show_confirmation through the CPP company-details contact federated widget","Analytics: CPP – Direct Request Widget / QDR modal (GA3)","2026-08-04","passed","2026-08-04","","","",""
"","432","should fire click tracking on portfolio button click","Analytics: Static SERP — Company (GA3)","2026-08-04","passed","2026-08-04","","company card tracking","",""
"","264","should fire click tracking on portfolio product name click","Analytics: Static SERP — Company (GA3)","2026-08-04","passed","2026-08-04","","company card tracking","",""
"","193","should fire click_pdp_stickyTopBar_product_overview on overview tab click","Analytics: PDP Mobile (GA3)","2026-08-04","passed","2026-08-04","","sticky top bar tabs","",""
"","238","should fire show_pdp_productImage on gallery image impression","Analytics: PDP Mobile (GA3)","2026-08-04","passed","2026-08-04","","modules & chrome","",""
"","354","should fire click_pdp_productCard_imageSwipe when product-card image changes","Analytics: PDP Mobile (GA3)","2026-08-04","passed","2026-08-04","","modules & chrome","",""
"","88","should fire show_cpp_viewMoreCompanyProductsButton on load-more impression","Analytics: CPP Mobile (GA3)","2026-08-04","passed","2026-08-04","","modules & product list","",""
"","740","should fire show_pdp_module_product_overview on overview section impression","Analytics: PDP Mobile (GA3)","2026-08-04","passed","2026-08-04","","modules & chrome","",""
"","38","should fire show_cpp_productCategoriesSection on categories impression","Analytics: CPP Mobile (GA3)","2026-08-04","passed","2026-08-04","","modules & product list","",""
"","121","should fire recommended_products_product_card_click on recommended card name/image","Analytics: CPP Desktop (GA3)","2026-08-04","passed","2026-08-04","","profile & products","",""
"","5840","should validate GA3 pageView on registration","Analytics: Supplier Login (GA3)","2026-08-04","passed","2026-08-04","","Registration page UV (registration)","",""
"","113","should fire badge_hover on verified badge hover","Analytics: CPP Desktop (GA3)","2026-08-04","passed","2026-08-04","","profile & products","",""
"","137","should fire click tracking on portfolio button click","Analytics: Company Search (GA3)","2026-08-04","passed","2026-08-04","","company card tracking","",""
"","1538","should fire show_productSerp_productCard on card impression","Analytics: Product Search (GA3)","2026-08-04","passed","2026-08-04","","product card tracking","",""
"","113","should fire companyName tracking when VerifiedLabel is clicked (bubbling)","Analytics: Product Search (GA3)","2026-08-04","passed","2026-08-04","","product card tracking","",""
"","1050","should fire click_login_appleButton on Apple button click","Analytics: Supplier Login (GA3)","2026-08-04","passed","2026-08-04","","Social Login buttons","",""
"","514","should fire mobile_company_modules_show on company products module","Analytics: CPP Mobile (GA3)","2026-08-04","passed","2026-08-04","","modules & product list","",""
"","90","should fire click_pdp_closeGallery on lightbox close","Analytics: PDP Desktop (GA3)","2026-08-04","passed","2026-08-04","","info section & gallery","",""
"","4530","should validate GA3 pageView","Analytics: Product Search (GA3)","2026-08-04","passed","2026-08-04","","page_view","",""
"","52","should fire company_details_items_click_company on VAT number click","Analytics: CPP Desktop (GA3)","2026-08-04","passed","2026-08-04","","profile & products","",""
"","386","should fire click_serp_sponsoredBrand_showContactForm on contact button click","Analytics: Company Search (GA3)","2026-08-04","passed","2026-08-04","","sponsored brand tracking","",""
"","1311","should fire click_login_googleButton on Google button click","Analytics: Supplier Login (GA3)","2026-08-04","passed","2026-08-04","","Social Login buttons","",""
"","25","should fire show tracking on portfolio button impression","Analytics: Company Search (GA3)","2026-08-04","passed","2026-08-04","","company card tracking","",""
"","242","should fire show_pdp_module_product_specification on specification impression","Analytics: PDP Mobile (GA3)","2026-08-04","passed","2026-08-04","","modules & chrome","",""
"","634","should fire show_cpp_productCard on company product card impression","Analytics: CPP Desktop (GA3)","2026-08-04","passed","2026-08-04","","profile & products","",""
"","221","should fire company_details_items_show for location/info detail CTAs","Analytics: CPP Desktop (GA3)","2026-08-04","passed","2026-08-04","","profile & products","",""
"","38","should fire filter_chips_show on category filter chips impression","Analytics: CPP Mobile (GA3)","2026-08-04","passed","2026-08-04","","modules & product list","",""
"","639","should fire click_serp_companyCard_logo on company logo click","Analytics: Static SERP — Company (GA3)","2026-08-04","passed","2026-08-04","","company card tracking","",""
"","425","should fire company_details_items_click_direct_request on location contact click","Analytics: CPP Desktop (GA3)","2026-08-04","passed","2026-08-04","","profile & products","",""
"","249","should fire show_pdp_viewAllProductsButton on view-all link impression","Analytics: PDP Mobile (GA3)","2026-08-04","passed","2026-08-04","","modules & chrome","",""
"","197","should fire click_contactForm_close on modal close","Analytics: PDP Desktop (GA3)","2026-08-04","passed","2026-08-04","","info section & gallery","",""
"","97","should fire show_pdp_stickyPanel_contactFormButton when sticky panel appears","Analytics: PDP Desktop (GA3)","2026-08-04","passed","2026-08-04","","company products, widgets & chrome","",""
"","145","should fire productImage tracking when SponsoredLabel is clicked (bubbling)","Analytics: Product Search (GA3)","2026-08-04","passed","2026-08-04","","product card tracking","",""
"","2145","should fire show_serp_companyCard on card impression","Analytics: Static SERP — Company (GA3)","2026-08-04","passed","2026-08-04","","company card tracking","",""
"","30","should fire click_exploration_connectBanner on connect banner CTA","Analytics: CPP Desktop (GA3)","2026-08-04","passed","2026-08-04","","profile & products","",""
"","1611","should fire show_pdp_productCard_contactFormButton on company-product card contact impression","Analytics: PDP Desktop (GA3)","2026-08-04","passed","2026-08-04","","company products, widgets & chrome","",""
"","181","should fire hitArea tracking when PriceAction empty area is clicked (bubbling)","Analytics: Product Search (GA3)","2026-08-04","passed","2026-08-04","","product card tracking","",""
"","134","should fire click_serp_companyCard_title on company name click","Analytics: Static SERP — Company (GA3)","2026-08-04","passed","2026-08-04","","company card tracking","",""
"","142","should fire company_card_click when description is clicked (bubbling to card)","Analytics: Company Search (GA3)","2026-08-04","passed","2026-08-04","","company card tracking","",""
"","22","should fire recommended_products_show on you-may-like impression","Analytics: CPP Mobile (GA3)","2026-08-04","passed","2026-08-04","","modules & product list","",""
"","284","should fire hitArea tracking when pricing hint text is clicked (bubbling)","Analytics: Product Search (GA3)","2026-08-04","passed","2026-08-04","","product card tracking","",""
"","873","should fire show_pdp_infoSection_contactFormButton on contact button impression","Analytics: PDP Desktop (GA3)","2026-08-04","passed","2026-08-04","","info section & gallery","",""
"","154","should fire company_details_copy_click on read-more description","Analytics: CPP Desktop (GA3)","2026-08-04","passed","2026-08-04","","profile & products","",""
"","126","should fire companyName tracking when ResponseLabel is clicked (bubbling)","Analytics: Product Search (GA3)","2026-08-04","passed","2026-08-04","","product card tracking","",""
"","1104","should fire direct_request_sticky_button_show on sticky bar impression","Analytics: CPP Mobile (GA3)","2026-08-04","passed","2026-08-04","","sticky direct request","",""
"","127","should fire click_pdp_stickyTopBar_recommended_products on recommendations tab click","Analytics: PDP Mobile (GA3)","2026-08-04","passed","2026-08-04","","sticky top bar tabs","",""
"","236","should fire show_pdp_module_product_description on about-product impression","Analytics: PDP Mobile (GA3)","2026-08-04","passed","2026-08-04","","modules & chrome","",""
"","224","should fire click_pdp_companyInfo_companyName on company name click","Analytics: PDP Desktop (GA3)","2026-08-04","passed","2026-08-04","","info section & gallery","",""
"","266","should fire show_pdp_module_company_products on other-company-products impression","Analytics: PDP Mobile (GA3)","2026-08-04","passed","2026-08-04","","modules & chrome","",""
"","36","should fire show_pdp_similarProductsWidget on similar product card impression","Analytics: PDP Desktop (GA3)","2026-08-04","passed","2026-08-04","","company products, widgets & chrome","",""
"","131","should fire click_pdp_viewAllProductsButton on view-all link click","Analytics: PDP Mobile (GA3)","2026-08-04","passed","2026-08-04","","modules & chrome","",""
"","10699","should fire show_pdp_module_recommended_products on you-may-like impression","Analytics: PDP Mobile (GA3)","2026-08-04","passed","2026-08-04","","modules & chrome","",""
