"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","267","should fire click_pdp_infoSection_showContactForm and show_contactForm on contact click","Analytics: PDP Desktop (GA3)","2026-08-25","passed","2026-08-25","","info section & gallery","",""
"","432","should fire company_details_items_click_clickout on external link / phone / map","Analytics: CPP Desktop (GA3)","2026-08-25","passed","2026-08-25","","profile & products","",""
"","3461","should validate GA3 pageView","Analytics: Showroom (GA3)","2026-08-25","passed","2026-08-25","","","",""
"","742","should fire mobile_company_modules_show on company card impression","Analytics: CPP Mobile (GA3)","2026-08-25","passed","2026-08-25","","modules & product list","",""
"","183","should fire click tracking on portfolio button click","Analytics: Company Search (GA3)","2026-08-25","passed","2026-08-25","","company card tracking","",""
"","2319","should fire company_card_show on card impression","Analytics: Company Search (GA3)","2026-08-25","passed","2026-08-25","","company card tracking","",""
"","199","should fire click_pdp_stickyTopBar_product_details on details tab click","Analytics: PDP Mobile (GA3)","2026-08-25","passed","2026-08-25","","sticky top bar tabs","",""
"","2171","validates login_click_social on Google button click","Analytics: Sign In / Sign Up (GA4)","2026-08-25","passed","2026-08-25","","social login","",""
"","241","should fire show_pdp_productImage on gallery image impression","Analytics: PDP Mobile (GA3)","2026-08-25","passed","2026-08-25","","modules & chrome","",""
"","150","should fire badge_hover on verified badge hover","Analytics: CPP Desktop (GA3)","2026-08-25","passed","2026-08-25","","profile & products","",""
"","119","should fire company_details_items_show from detail sheet content","Analytics: CPP Mobile (GA3)","2026-08-25","passed","2026-08-25","","modules & product list","",""
"","49","should fire show_pdp_similarProductsWidget_shown on similar products widget impression","Analytics: PDP Desktop (GA3)","2026-08-25","passed","2026-08-25","","company products, widgets & chrome","",""
"","3607","should fire profile_items_show for sticky panel contact when scrolled","Analytics: CPP Desktop (GA3)","2026-08-25","passed","2026-08-25","","profile & products","",""
"","3591","should validate GA3 pageView","Analytics: CPP Desktop (GA3)","2026-08-25","passed","2026-08-25","","page_view","",""
"","2815","validates page_view on supplier registration landing page","Analytics: Supplier Registration (GA4)","2026-08-25","passed","2026-08-25","","page_view","",""
