"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4636","should bulk edit MOQ for first 3 products and save","regression","2026-08-19","passed","2026-08-19","bulk-edit-listing","product-editor","",""
"","2535","should display first company card with name","regression","2026-08-19","passed","2026-08-19","wlw-cserp-regression","cserp","",""
"","2420","should load CPP URL with company profile path","regression","2026-08-19","passed","2026-08-19","wlw-cpp-regression","cpp","",""
"","1789","should load homepage at correct URL","regression","2026-08-19","passed","2026-08-19","ep-homepage-regression","homepage","",""
"","1328","should display Find more companies section with /en/cpp links","regression","2026-08-19","passed","2026-08-19","ep-homepage-regression","homepage","",""
"","2961","should pass CR-10 on europages PDP","regression","2026-08-19","passed","2026-08-19","cr-10-pdp-functional","pdp","",""
"","4017","should run AI reasoning panel cycle when available","regression","2026-08-19","passed","2026-08-19","ai-product-search-regression","product-search","",""
"","2023","should display trending products carousel with product links","smoke","2026-08-19","passed","2026-08-19","","homepage","",""
"","6258","should complete user registration form and reach verification step","regression","2026-08-19","passed","2026-08-19","wlw-user-creation-regression","supplier-onboarding","",""
"","2742","should display product cards","regression","2026-08-19","passed","2026-08-19","wlw-cpv-regression","cpv","",""
"","2097","should load showroom on Poland (https://www.europages-staging.pl)","regression","2026-08-19","passed","2026-08-19","domain-smoke","showroom","",""
"","2298","should display company search results","regression","2026-08-19","passed","2026-08-19","ep-cserp-regression","cserp","",""
"","1572","should load the success page for europages in FRENCH (fr)","regression","2026-08-19","passed","2026-08-19","direct-request-success-regression","requests","",""
"","9648","should load PDP with product title and breadcrumbs","smoke","2026-08-19","failed","2026-08-19","","pdp","",""
"","3770","should display and open sorting options","regression","2026-08-19","passed","2026-08-19","ai-company-search-regression","company-search","",""
"","1877","should display footer SEO alphabetical navigation sections","smoke","2026-08-19","passed","2026-08-19","","homepage","",""
"","1623","should have valid href values on all header navigation links","regression","2026-08-19","passed","2026-08-19","ep-homepage-regression","homepage","",""
"","2029","should render the RFQ create page","smoke","2026-08-19","passed","2026-08-19","","requests-smoke","",""
"","1234","should show a non-empty current page breadcrumb","critical regression","2026-08-19","passed","2026-08-19","direct-request-e2e","requests","",""
"","34277","RFQAI-MOB-P0-016: thumbs down reason submit flow works and locks on mobile","critical regression","2026-08-19","failed","2026-08-19","rfq-ai-ui-mobile","requests","",""
"","4736","should display and open sorting options","regression","2026-08-19","passed","2026-08-19","ai-product-search-regression","product-search","",""
"","13834","should open a conversation when the first card is clicked on europages","smoke","2026-08-19","failed","2026-08-19","","conversations-smoke","",""
"","7534","should keep results after verified filter and new header search","regression","2026-08-19","passed","2026-08-19","ai-company-search-regression","company-search","",""
"","1946","should display ""Discover trending products"" section title","regression","2026-08-19","passed","2026-08-19","ep-homepage-regression","homepage","",""
"","27066","RFQAI-MOB-P0-012: AI-generated description is non-empty and ready for submission flow","critical regression","2026-08-19","failed","2026-08-19","rfq-ai-ui-mobile","requests","",""
"","1320","should display ""Product recommendation"" section title","regression","2026-08-19","passed","2026-08-19","ep-homepage-regression","homepage","",""
"","9300","should display My Companies section","regression","2026-08-19","passed","2026-08-19","wlw-my-account-regression","my-account","",""
"","1823","should display pagination","regression","2026-08-19","passed","2026-08-19","ai-product-search-regression","product-search","",""
"","2688","should load the direct request page for europages in FRENCH (fr)","regression","2026-08-19","passed","2026-08-19","direct-request-regression","requests","",""
"","4131","should open sorting options","smoke","2026-08-19","passed","2026-08-19","","ai-product-search-smoke","",""
"","23905","should take an online product offline via the more-btn context menu","smoke","2026-08-19","passed","2026-08-19","","product-editor","",""
"","1747","should expand and collapse the first FAQ item","critical regression","2026-08-19","passed","2026-08-19","direct-request-e2e","requests","",""
"","18248","should create, publish, and delete a product","smoke","2026-08-19","passed","2026-08-19","","product-editor","",""
"","5090","should navigate from home to /conversations via the messages icon on europages","smoke","2026-08-19","passed","2026-08-19","","conversations-smoke","",""
"","12576","should display the correct page heading and user name","regression","2026-08-19","passed","2026-08-19","wlw-my-account-regression","my-account","",""
"","3818","should display all filters and verify basic location interactions","regression","2026-08-19","passed","2026-08-19","ai-company-search-regression","company-search","",""
"","1345","should display non-empty current page breadcrumb","smoke","2026-08-19","passed","2026-08-19","","requests-smoke","",""
"","4429","should display pagination","regression","2026-08-19","passed","2026-08-19","ai-company-search-regression","company-search","",""
"","14201","should apply audit filters individually and in combination","regression","2026-08-19","passed","2026-08-19","ai-company-search-regression","company-search","",""
"","2031","should have acceptable page load time","smoke","2026-08-19","passed","2026-08-19","","product-editor","",""
"","26442","RFQAI-MOB-P0-007: Optimize keeps a valid existing title unchanged","critical regression","2026-08-19","failed","2026-08-19","rfq-ai-ui-mobile","requests","",""
"","2601","should load PDP URL with product path","regression","2026-08-19","passed","2026-08-19","wlw-pdp-regression","pdp","",""
"","32721","should navigate away from CPV when clicking first product card","regression","2026-08-19","failed","2026-08-19","ep-cpv-regression","cpv","",""
"","12725","should apply audit filters individually and in combination","regression","2026-08-19","passed","2026-08-19","ai-product-search-regression","product-search","",""
"","684","should upload the company logo","critical regression","2026-08-19","passed","2026-08-19","wlw-company-profile-editor-e2e","company-profile","",""
"","2037","should load homepage on Austria (https://www.wlw-staging.at)","regression","2026-08-19","passed","2026-08-19","domain-smoke","homepage","",""
"","1231","should display product image","regression","2026-08-19","passed","2026-08-19","wlw-pdp-regression","pdp","",""
"","26560","RFQAI-MOB-P0-009: Rewrite refreshes the generated description","critical regression","2026-08-19","failed","2026-08-19","rfq-ai-ui-mobile","requests","",""
"","2304","should display and open sorting options","regression","2026-08-19","passed","2026-08-19","ai-product-search-regression","product-search","",""
"","1050","should display pagination or quotes entry","regression","2026-08-19","passed","2026-08-19","ep-showroom-regression","showroom","",""
"","17861","should apply audit filters individually and in combination","regression","2026-08-19","passed","2026-08-19","ai-company-search-regression","company-search","",""
"","3127","should pass CR-05 SEO dynamic elements and functional validation","regression","2026-08-19","passed","2026-08-19","cr-05-wlw-homepage-functional","homepage","",""
"","10024","should navigate away from homepage after searching","regression","2026-08-19","failed","2026-08-19","ep-homepage-regression","homepage","",""
"","2270","should display a list of available RFQs","smoke","2026-08-19","passed","2026-08-19","","request-hub-smoke","",""
"","1169","should display company name","regression","2026-08-19","passed","2026-08-19","ep-cpp-regression","cpp","",""
"","11721","should display the correct page heading","regression","2026-08-19","passed","2026-08-19","ep-my-account-regression","my-account","",""
"","1882","should display first company card with name","regression","2026-08-19","passed","2026-08-19","ep-cserp-regression","cserp","",""
"","10756","should load the RFQ landing page for wlw in GERMAN (de)","regression","2026-08-19","failed","2026-08-19","rfq-landing-regression","requests","",""
"","1774","should display Explore suppliers & products section with showroom links","regression","2026-08-19","passed","2026-08-19","ep-homepage-regression","homepage","",""
"","6315","should run a new search from the header search form","regression","2026-08-19","passed","2026-08-19","ai-company-search-regression","company-search","",""
"","1640","should display contact button","regression","2026-08-19","passed","2026-08-19","wlw-cpp-regression","cpp","",""
"","9604","should display Inside Business subtitle","regression","2026-08-19","failed","2026-08-19","ep-homepage-regression","homepage","",""
"","7260","should not allow adding more than 15 keywords when initial count is 3","regression","2026-08-19","passed","2026-08-19","bulk-edit-listing","product-editor","",""
"","1526","should show the breadcrumb with supplier name","critical regression","2026-08-19","passed","2026-08-19","direct-request-e2e","requests","",""
"","7956","should run a new search from the header search form","regression","2026-08-19","passed","2026-08-19","ai-product-search-regression","product-search","",""
"","9597","should load homepage on United Kingdom (https://www.europages-staging.co.uk)","regression","2026-08-19","failed","2026-08-19","domain-smoke","homepage","",""
"","8062","should load AI company search page in German","smoke","2026-08-19","passed","2026-08-19","","ai-company-search-smoke","",""
"","9777","should load the RFQ create page for europages in SPANISH (es)","regression","2026-08-19","failed","2026-08-19","rfq-create-regression","requests","",""
"","3384","should load CPV with breadcrumbs and product cards","smoke","2026-08-19","passed","2026-08-19","","cpv","",""
"","9231","should display Account information section with disabled email","regression","2026-08-19","passed","2026-08-19","ep-my-account-regression","my-account","",""
"","1235","should display product search results container","regression","2026-08-19","passed","2026-08-19","ep-showroom-regression","showroom","",""
"","10448","should display ""Sign in"" button in header","regression","2026-08-19","failed","2026-08-19","ep-homepage-regression","homepage","",""
"","3153","should bulk edit MOQ and unit for existing products","regression","2026-08-19","passed","2026-08-19","bulk-edit-listing","product-editor","",""
"","15269","should create a draft product without required fields","smoke","2026-08-19","passed","2026-08-19","","product-editor","",""
"","30342","RFQAI-MOB-P0-014: feedback thumbs controls are visible after generation on mobile","critical regression","2026-08-19","failed","2026-08-19","rfq-ai-ui-mobile","requests","",""
"","3287","should load CPV URL with showroom-cate path","regression","2026-08-19","passed","2026-08-19","wlw-cpv-regression","cpv","",""
"","2262","should load the success page for wlw in GERMAN (de)","regression","2026-08-19","passed","2026-08-19","direct-request-success-regression","requests","",""
"","7674","should apply audit filters individually and in combination","regression","2026-08-19","passed","2026-08-19","ai-product-search-regression","product-search","",""
"","1712","should display europages brand intro content paragraph","regression","2026-08-19","passed","2026-08-19","ep-homepage-regression","homepage","",""
"","9667","should run a new search from the header search form","regression","2026-08-19","passed","2026-08-19","ai-company-search-regression","company-search","",""
"","1610","should display filters or sorting controls","regression","2026-08-19","passed","2026-08-19","wlw-showroom-regression","showroom","",""
"","9614","should display Become Part section with correct CTAs and links","smoke","2026-08-19","failed","2026-08-19","","homepage","",""
"","1618","should load PDP with product title and breadcrumbs","smoke","2026-08-19","passed","2026-08-19","","pdp","",""
"","935","should load the success page for europages in SPANISH (es)","regression","2026-08-19","passed","2026-08-19","direct-request-success-regression","requests","",""
"","220","should display and verify basic info fields after entering edit mode","critical regression","2026-08-19","passed","2026-08-19","wlw-company-profile-editor-e2e","company-profile","",""
"","4269","should bulk edit keywords for existing products","regression","2026-08-19","passed","2026-08-19","bulk-edit-listing","product-editor","",""
"","2640","should display filter options in German","smoke","2026-08-19","passed","2026-08-19","","ai-product-search-smoke","",""
"","2021","should display correct hero heading text","regression","2026-08-19","passed","2026-08-19","ep-homepage-regression","homepage","",""
"","1143","should display related products","regression","2026-08-19","passed","2026-08-19","ep-pdp-regression","pdp","",""
"","1360","should display product cards with core structure","regression","2026-08-19","passed","2026-08-19","ep-showroom-regression","showroom","",""
"","7751","should display My Companies section","regression","2026-08-19","passed","2026-08-19","ep-my-account-regression","my-account","",""
"","9876","should display europages brand intro and footer brand claim","smoke","2026-08-19","failed","2026-08-19","","homepage","",""
"","1569","should load CPP URL with company profile path","regression","2026-08-19","passed","2026-08-19","ep-cpp-regression","cpp","",""
"","9608","should navigate to product detail when clicking first product card","regression","2026-08-19","failed","2026-08-19","wlw-showroom-regression","showroom","",""
"","2199","should load the product list page","smoke","2026-08-19","passed","2026-08-19","","product-editor","",""
"","6679","should display company and product tabs","regression","2026-08-19","passed","2026-08-19","ai-company-search-regression","company-search","",""
"","896","should display contact button","regression","2026-08-19","passed","2026-08-19","ep-pdp-regression","pdp","",""
"","2243","should load homepage on Germany (https://www.wlw-staging.de)","regression","2026-08-19","passed","2026-08-19","domain-smoke","homepage","",""
"","10324","should display header, hero, and footer","critical regression","2026-08-19","failed","2026-08-19","direct-request-e2e","requests","",""
"","8623","should keep AI reasoning panel after a header search","regression","2026-08-19","passed","2026-08-19","ai-product-search-regression","product-search","",""
"","1272","should load europages conversations page after login","smoke","2026-08-19","passed","2026-08-19","","conversations-smoke","",""
"","15185","should discard unsaved title changes when leaving to price tab via changes-leave","regression","2026-08-19","passed","2026-08-19","bulk-edit-listing","product-editor","",""
"","10283","should load homepage on Netherlands (https://www.europages-staging.nl)","regression","2026-08-19","failed","2026-08-19","domain-smoke","homepage","",""
"","3655","should display Sponsored on at most the first 5 product cards when searching cnc","regression","2026-08-19","passed","2026-08-19","ai-product-top-ranking","product-search","",""
"","18003","RFQAI-MOB-P0-003: generates AI description from valid title on mobile","critical regression","2026-08-19","failed","2026-08-19","rfq-ai-ui-mobile","requests","",""
"","15978","should open a conversation when the first card is clicked on wlw","smoke","2026-08-19","failed","2026-08-19","","conversations-smoke","",""
"","2105","should load showroom on Austria (https://www.wlw-staging.at)","regression","2026-08-19","passed","2026-08-19","domain-smoke","showroom","",""
"","1482","should display CPV section title and correct showroom-cate links","smoke","2026-08-19","passed","2026-08-19","","homepage","",""
"","19872","should delete a product via the more-btn context menu and confirm dialog","smoke","2026-08-19","passed","2026-08-19","","product-editor","",""
"","1717","should show the breadcrumb with supplier name","critical regression","2026-08-19","passed","2026-08-19","direct-request-e2e","requests","",""
"","21768","should put a draft product online via the more-btn context menu","smoke","2026-08-19","passed","2026-08-19","","product-editor","",""
"","2089","should scroll trending products carousel forward with next arrow","regression","2026-08-19","passed","2026-08-19","ep-homepage-regression","homepage","",""
"","9491","should display the Request Hub banner","regression","2026-08-19","passed","2026-08-19","ep-business-insights-regression","my-account","",""
"","2222","should navigate product recommendation carousel with slider arrows","smoke","2026-08-19","passed","2026-08-19","","homepage","",""
"","9504","should display search bar in hero section","regression","2026-08-19","failed","2026-08-19","ep-homepage-regression","homepage","",""
"","1060","should display contact button","regression","2026-08-19","passed","2026-08-19","ep-cpp-regression","cpp","",""
"","4086","should run AI reasoning panel touchpoint when available","smoke","2026-08-19","passed","2026-08-19","","ai-company-search-smoke","",""
"","4879","should open sorting options","smoke","2026-08-19","passed","2026-08-19","","ai-company-search-smoke","",""
"","4217","should display all filters including price, categories and attributes","regression","2026-08-19","passed","2026-08-19","ai-product-search-regression","product-search","",""
"","1554","should display portfolio products","regression","2026-08-19","passed","2026-08-19","wlw-cpp-regression","cpp","",""
"","7745","should display Security section","regression","2026-08-19","passed","2026-08-19","ep-my-account-regression","my-account","",""
"","2296","should not log any errors on the RFQ landing page","critical regression","2026-08-19","failed","2026-08-19","direct-request-e2e","requests","",""
"","9550","should display header with EP logo and all nav buttons","smoke","2026-08-19","failed","2026-08-19","","homepage","",""
"","11033","should display Products and services table with data","regression","2026-08-19","passed","2026-08-19","ep-business-insights-regression","my-account","",""
"","2335","should display breadcrumbs","regression","2026-08-19","passed","2026-08-19","ep-cpv-regression","cpv","",""
"","1501","should load the success page for wlw in ENGLISH (en)","regression","2026-08-19","passed","2026-08-19","direct-request-success-regression","requests","",""
"","2008","should load showroom with breadcrumbs, results and product cards","smoke","2026-08-19","passed","2026-08-19","","showroom","",""
"","2978","should load CSERP with company results and contact buttons","smoke","2026-08-19","passed","2026-08-19","","cserp","",""
"","10054","should load homepage on France (https://www.europages-staging.fr)","regression","2026-08-19","failed","2026-08-19","domain-smoke","homepage","",""
"","9623","should load homepage on Spain (https://www.europages-staging.es)","regression","2026-08-19","failed","2026-08-19","domain-smoke","homepage","",""
"","5778","should display filter options in German","smoke","2026-08-19","passed","2026-08-19","","ai-company-search-smoke","",""
"","5956","should bulk edit keyword for first 3 products and save","regression","2026-08-19","passed","2026-08-19","bulk-edit-listing","product-editor","",""
"","709","should load the RFQ success page for europages in ITALIAN (it)","regression","2026-08-19","passed","2026-08-19","rfq-success-regression","requests","",""
"","3569","should load AI product search page in German","smoke","2026-08-19","passed","2026-08-19","","ai-product-search-smoke","",""
"","9579","should display date filter and download button","regression","2026-08-19","passed","2026-08-19","ep-business-insights-regression","my-account","",""
